title,ID
Kinsey,0362269
Artists and Orphans: A True Drama,0289073
Die Rote Jacke (The Red Jacket),0323844
Finding Neverland,0308644
The Pursuit of Happyness,0454921
Arrival,2543164
Mustang,3966404
The Hobbit: An Unexpected Journey,0903624
Django Unchained,1853728
Two Hands,0951151
La Femme et le TGV,4661660
Crip Camp,8923484
Everything Everywhere All at Once,6710474
The Lord of the Rings: The Fellowship of the Ring,0120737
Zelary,0288330
Our Time Is Up,0427617
Florence Foster Jenkins,4136084
Tinker Tailor Soldier Spy,1340800
Sanjay's Super Team,4661600
In the Absence,9464764
Bowling for Columbine,0310793
Pride & Prejudice,0414387
Possessions,3080074
Bao,8075496
Closer,0376541
The Breadwinner,3901826
Iron Man,0371746
The Two Popes,8404614
China's Unnatural Disaster: The Tears of Sichuan Province,1430809
Harry Potter and the Deathly Hallows Part 2,1201607
The Wind Rises,2013293
The Tsunami and the Cherry Blossom,2028578
Beginners,1532503
Coco before Chanel,1035736
Winter's Bone,1399683
The Moon and the Son: An Imagined Conversation,0449619
Tangled,0398286
Shrek,0126029
How to Survive a Plague,2124803
Star Wars: The Force Awakens,2488496
War Horse,1568911
Les Misérables,5900600
20th Century Women,4385888
Cruella,3228774
A Beautiful Mind,0268978
The White Tiger,6571548
When We Were Bullies,13796488
An Ostrich Told Me the World Is Fake and I Think I Believe It,20115114
Inglourious Basterds,0361748
Ghost World,0162346
The Invisible War,2120152
Saving Face,2140371
Racing Extinction,1618448
Captain Fantastic,3553976
Sexy Beast,0203119
West Side Story,3581652
Harry Potter and the Deathly Hallows Part 1,0926084
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",11422728
Ferry Tales,0363607
Strangers No More,1754549
Youth,3312830
Jackie,1619029
Ice Age,0268380
Vice,6266538
Interstellar,0816692
All Quiet on the Western Front,1016150
Lost in Translation,0335266
Judas and the Black Messiah,9784798
Mighty Times: The Children's March,0443587
At Eternity's Gate,6938828
The Eyes of Tammy Faye,9115530
Kong: Skull Island,3731562
No Time to Die,2382320
Transformers,0418279
The Collector of Bedford Street,0325193
Minding the Gap,7476236
Bestia,14825950
Sari's Mother,0841160
Stubble Trouble,0309121
Unfaithful,0250797
Empire of Light,14402146
Babylon,10640346
The Wild Thornberrys Movie,0282120
Children of Men,0206634
Kon-Tiki,1613750
Song of the Sea,1865505
Luca,12801262
The Lego Movie,1490017
Toy Story 3,0435761
The Act of Killing,2375605
Pan's Labyrinth,0457430
A Star Is Born,1517451
I Lost My Body,9806192
Spider-Man: No Way Home,10872600
The Assassination of Jesse James by the Coward Robert Ford,0443680
The Bigger Picture,3610188
Kitbull,9536832
Zero Dark Thirty,1790885
Winter on Fire: Ukraine's Fight for Freedom,4908644
Johnny Flynton,0329245
The Saviour,0467485
Joanna,2976354
Last Day of Freedom,4172096
Borrowed Time,4874696
Star Wars: The Last Jedi,2527336
Nebraska,1821549
The Batman,1877830
The Kids Are All Right,0842926
The Hours,0274558
Revolutionary Road,0959337
The Golden Compass,0385752
Blade Runner 2049,1856101
Vera Drake,0383694
Time Freak,1733689
Animal Kingdom,1313092
Captain America: The Winter Soldier,1843866
Mulholland Drive,0166924
Zootopia,2948356
If Anything Happens I Love You,11768948
Better Days,9586294
Moonrise Kingdom,1748122
Munich,0408306
Strong Island,5873150
Burma VJ,1333634
One Night in Miami...,10612922
Lone Survivor,1091191
Whale Rider,0298228
A Serious Man,1019452
Le Pupille,20215392
Jimmy Neutron: Boy Genius,0268397
The Phone Call,3071532
