category,ceremony,film,film_awards.nomsBaftas,film_awards.nomsGoldenGlobes,film_awards.nomsOscars,film_awards.winsBaftas,film_awards.winsGoldenGlobes,film_awards.winsOscars,name,winner,year_ceremony,year_film
Actor in a Leading Role,74,A Beautiful Mind,2,2,4,2,4,4,Russell Crowe,false,2002,2001
Actor in a Leading Role,74,I Am Sam,0,0,1,0,0,0,Sean Penn,false,2002,2001
Actor in a Leading Role,74,Ali,0,3,2,0,0,0,Will Smith,false,2002,2001
Actor in a Leading Role,74,Training Day,0,1,1,0,0,1,Denzel Washington,true,2002,2001
Actor in a Leading Role,74,In the Bedroom,2,2,5,0,1,0,Tom Wilkinson,false,2002,2001
Actor in a Supporting Role,74,Iris,4,2,2,1,1,1,Jim Broadbent,true,2002,2001
Actor in a Supporting Role,74,Training Day,0,1,1,0,0,1,Ethan Hawke,false,2002,2001
Actor in a Supporting Role,74,Sexy Beast,0,1,1,0,0,0,Ben Kingsley,false,2002,2001
Actor in a Supporting Role,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,Ian McKellen,false,2002,2001
Actor in a Supporting Role,74,Ali,0,3,2,0,0,0,Jon Voight,false,2002,2001
Actress in a Leading Role,74,"Monster's Ball",1,1,1,0,0,1,Halle Berry,true,2002,2001
Actress in a Leading Role,74,Iris,4,2,2,1,1,1,Judi Dench,false,2002,2001
Actress in a Leading Role,74,Moulin Rouge,8,3,6,2,3,2,Nicole Kidman,false,2002,2001
Actress in a Leading Role,74,In the Bedroom,2,2,5,0,1,0,Sissy Spacek,false,2002,2001
Actress in a Leading Role,74,"Bridget Jones's Diary",3,2,1,0,0,0,Renée Zellweger,false,2002,2001
Actress in a Supporting Role,74,A Beautiful Mind,2,2,4,2,4,4,Jennifer Connelly,true,2002,2001
Actress in a Supporting Role,74,Gosford Park,5,4,6,1,1,1,Helen Mirren,false,2002,2001
Actress in a Supporting Role,74,Gosford Park,5,4,6,1,1,1,Maggie Smith,false,2002,2001
Actress in a Supporting Role,74,In the Bedroom,2,2,5,0,1,0,Marisa Tomei,false,2002,2001
Actress in a Supporting Role,74,Iris,4,2,2,1,1,1,Kate Winslet,false,2002,2001
Animated Feature Film,74,Jimmy Neutron: Boy Genius,0,0,1,0,0,0,"Steve Oedekerk, John A. Davis",false,2002,2001
Animated Feature Film,74,"Monsters, Inc.",0,0,3,0,0,1,"Pete Docter, John Lasseter",false,2002,2001
Animated Feature Film,74,Shrek,4,1,1,1,0,1,Aron Warner,true,2002,2001
Production Design,74,Amélie,5,1,5,2,0,0,Art Direction:  Aline Bonetto; Set Decoration:  Marie-Laure Valla,false,2002,2001
Production Design,74,Gosford Park,5,4,6,1,1,1,Art Direction:  Stephen Altman; Set Decoration:  Anna Pinnock,false,2002,2001
Production Design,74,"Harry Potter and the Sorcerer's Stone",6,0,3,0,0,0,Art Direction:  Stuart Craig; Set Decoration:  Stephenie McMillan,false,2002,2001
Production Design,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,false,2002,2001
Production Design,74,Moulin Rouge,8,3,6,2,3,2,Art Direction:  Catherine Martin; Set Decoration:  Brigitte Broch,true,2002,2001
Cinematography,74,Amélie,5,1,5,2,0,0,Bruno Delbonnel,false,2002,2001
Cinematography,74,Black Hawk Down,3,0,2,0,0,2,Slawomir Idziak,false,2002,2001
