year_ceremony,film,winner,category
2002,Shrek,False,Visual Effects
2002,Harry Potter and the Philosopher's Stone,False,Visual Effects
2002,A.I. Artificial Intelligence,False,Visual Effects
2002,The Lord of the Rings: The Fellowship of the Ring,True,Visual Effects
2002,Moulin Rouge,False,Visual Effects
2003,The Lord of the Rings: The Two Towers,True,Visual Effects
2003,Spider-Man,False,Visual Effects
2003,Minority Report,False,Visual Effects
2003,Harry Potter and the Chamber of Secrets,False,Visual Effects
2003,Gangs of New York,False,Visual Effects
2004,The Lord of the Rings: The Return of the King,True,Visual Effects
2004,Big Fish,False,Visual Effects
2004,Pirates of the Caribbean: The Curse of the Black Pearl,False,Visual Effects
2004,Master and Commander: The Far Side of the World,False,Visual Effects
2004,Kill Bill: Volume 1,False,Visual Effects
2005,The Day After Tomorrow,True,Visual Effects
2005,The Aviator,False,Visual Effects
2005,Harry Potter and the Prisoner of Azkaban,False,Visual Effects
2005,House of Flying Daggers,False,Visual Effects
2005,Spider-Man 2,False,Visual Effects
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,Visual Effects
2006,Harry Potter and the Goblet of Fire,False,Visual Effects
2006,King Kong,True,Visual Effects
2006,Batman Begins,False,Visual Effects
2006,Charlie and the Chocolate Factory,False,Visual Effects
2007,Pan's Labyrinth,False,Visual Effects
2007,Superman Returns,False,Visual Effects
2007,Children of Men,False,Visual Effects
2007,Casino Royale,False,Visual Effects
2007,Pirates of the Caribbean: Dead Man's Chest,True,Visual Effects
2008,Harry Potter and the Order of the Phoenix,False,Visual Effects
2008,Pirates of the Caribbean: At World's End,False,Visual Effects
2008,Spider-Man 3,False,Visual Effects
2008,The Golden Compass,True,Visual Effects
2008,The Bourne Ultimatum,False,Visual Effects
2009,Iron Man,False,Visual Effects
2009,The Curious Case of Benjamin Button,True,Visual Effects
2009,The Dark Knight,False,Visual Effects
2009,Indiana Jones and the Kingdom of the Crystal Skull,False,Visual Effects
2009,Quantum of Solace,False,Visual Effects
2010,Avatar,True,Visual Effects
2010,District 9,False,Visual Effects
2010,Star Trek,False,Visual Effects
2010,The Hurt Locker,False,Visual Effects
2010,Harry Potter and the Half-Blood Prince,False,Visual Effects
2011,Black Swan,False,Visual Effects
2011,Harry Potter and the Deathly Hallows Part 1,False,Visual Effects
2011,Toy Story 3,False,Visual Effects
2011,Inception,True,Visual Effects
2011,Alice in Wonderland,False,Visual Effects
2012,The Adventures of Tintin: The Secret of the Unicorn,False,Visual Effects
2012,Hugo,False,Visual Effects
2012,Rise of the Planet of the Apes,False,Visual Effects
2012,War Horse,False,Visual Effects
2012,Harry Potter and the Deathly Hallows Part 2,True,Visual Effects
2013,Prometheus,False,Visual Effects
2013,The Hobbit An Unexpected Journey,False,Visual Effects
2013,Life of Pi,True,Visual Effects
2013,The Avengers,False,Visual Effects
2013,The Dark Knight Rises,False,Visual Effects
2014,The Hobbit: The Desolation of Smaug,False,Visual Effects
2014,Gravity,True,Visual Effects
2014,Iron Man 3,False,Visual Effects
2014,Star Trek Into Darkness,False,Visual Effects
2014,Pacific Rim,False,Visual Effects
2015,The Hobbit: The Battle of the Five Armies,False,Visual Effects
2015,Dawn of the Planet of the Apes,False,Visual Effects
2015,Interstellar,True,Visual Effects
2015,Guardians of the Galaxy,False,Visual Effects
2015,X-Men: Days of Future Past,False,Visual Effects
2016,The Martian,False,Visual Effects
2016,Ex Machina,False,Visual Effects
2016,Ant-Man,False,Visual Effects
2016,Star Wars: The Force Awakens,True,Visual Effects
2016,Mad Max: Fury Road,False,Visual Effects
2017,The Jungle Book,True,Visual Effects
2017,Arrival,False,Visual Effects
2017,Doctor Strange,False,Visual Effects
2017,Rogue One: A Star Wars Story,False,Visual Effects
2017,Fantastic Beasts and Where to Find Them,False,Visual Effects
2018,Blade Runner 2049,True,Visual Effects
2018,Dunkirk,False,Visual Effects
2018,The Shape of Water,False,Visual Effects
2018,Star Wars: The Last Jedi,False,Visual Effects
2018,War of the Planet of the Apes,False,Visual Effects
2019,Fantastic Beasts: The Crimes of Grindelwald,False,Visual Effects
2019,Ready Player One,False,Visual Effects
2019,Black Panther,True,Visual Effects
2019,Avengers: Infinity War,False,Visual Effects
2019,First Man,False,Visual Effects
2020,1917,True,Visual Effects
2020,Avengers: Endgame,False,Visual Effects
2020,The Irishman,False,Visual Effects
2020,The Lion King,False,Visual Effects
2020,Star Wars: The Rise of Skywalker,False,Visual Effects
2021,The Midnight Sky,False,Visual Effects
2021,Mulan,False,Visual Effects
2021,The One and Only Ivan,False,Visual Effects
2021,Tenet,True,Visual Effects
2021,Greyhound,False,Visual Effects
2022,Ghostbusters: Afterlife,False,Visual Effects
2022,The Matrix Resurrections,False,Visual Effects
2022,Free Guy,False,Visual Effects
2022,Dune,True,Visual Effects
2022,No Time to Die,False,Visual Effects
2023,All Quiet on the Western Front,False,Visual Effects
2023,The Batman,False,Visual Effects
2023,Everything Everywhere All at Once,False,Visual Effects
2023,Top Gun: Maverick,False,Visual Effects
2023,Avatar: The Way of Water,True,Visual Effects
2002,Mullholland Drive,True,Film Editing
2002,Amélie,False,Film Editing
2002,Black Hawk Down,False,Film Editing
2002,The Lord of the Rings: The Fellowship of the Ring,False,Film Editing
2002,Moulin Rouge,False,Film Editing
2003,City of God,True,Film Editing
2003,Chicago,False,Film Editing
2003,Gangs of New York,False,Film Editing
2003,The Hours,False,Film Editing
2003,The Lord of the Rings: The Two Towers,False,Film Editing
2004,Lost in Translation,True,Film Editing
2004,21 Grams,False,Film Editing
2004,Cold Mountain,False,Film Editing
2004,Kill Bill: Volume 1,False,Film Editing
2004,The Lord of the Rings: The Return of the King,False,Film Editing
2005,Eternal Sunshine of the Spotless Mind,True,Film Editing
2005,The Aviator,False,Film Editing
2005,Collateral,False,Film Editing
