year_film,year_ceremony,ceremony,category,name,film,win
2001,2002,59,Best Motion Picture - Drama,A Beautiful Mind,,True
2001,2002,59,Best Motion Picture - Drama,In the Bedroom,,False
2001,2002,59,Best Motion Picture - Drama,The Lord of the Rings: The Fellowship of the Ring,,False
2001,2002,59,Best Motion Picture - Drama,The Man Who Wasn't There,,False
2001,2002,59,Best Motion Picture - Drama,Mulholland Dr.,,False
2001,2002,59,Best Motion Picture - Musical or Comedy,Moulin Rouge,,True
2001,2002,59,Best Motion Picture - Musical or Comedy,Bridget Jones's Diary,,False
2001,2002,59,Best Motion Picture - Musical or Comedy,Gosford Park,,False
2001,2002,59,Best Motion Picture - Musical or Comedy,Legally Blonde,,False
2001,2002,59,Best Motion Picture - Musical or Comedy,Shrek,,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,In the Bedroom,True
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Tilda Swinton,The Deep End,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Monster's Ball,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Others,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,A Beautiful Mind,True
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Kevin Spacey,The Shipping News,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Ali,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Billy Bob Thornton,The Man Who Wasn't There,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Training Day,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nicole Kidman,Moulin Rouge,True
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Bridget Jones's Diary,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Thora Birch,Ghost World,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cate Blanchett,Bandits,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Legally Blonde,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Hackman,The Royal Tenenbaums,True
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Kate & Leopold,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ewan McGregor,Moulin Rouge,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Cameron Mitchell,Hedwig and the Angry Inch,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Bob Thornton,Bandits,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Connelly,A Beautiful Mind,True
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Iris,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Vanilla Sky,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helen Mirren,Gosford Park,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maggie Smith,Gosford Park,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Tomei,In the Bedroom,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris,True
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Steve Buscemi,Ghost World,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hayden Christensen,Life as a House,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Kingsley,Sexy Beast,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jude Law,A. I.: Artificial Intelligence,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jon Voight,Ali,False
2001,2002,59,Best Director - Motion Picture,Robert Altman,Gosford Park,True
2001,2002,59,Best Director - Motion Picture,Ron Howard,A Beautiful Mind,False
2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,59,Best Director - Motion Picture,Baz Luhrmann,Moulin Rouge,False
2001,2002,59,Best Director - Motion Picture,David Lynch,Mulholland Dr.,False
2001,2002,59,Best Director - Motion Picture,Steven Spielberg,A. I.: Artificial Intelligence,False
2001,2002,59,Best Screenplay - Motion Picture,Akiva Goldsman,A Beautiful Mind,True
2001,2002,59,Best Screenplay - Motion Picture,Christopher Nolan,Memento,False
2001,2002,59,Best Screenplay - Motion Picture,David Lynch,Mulholland Dr.,False
2001,2002,59,Best Screenplay - Motion Picture,Julian Fellowes,Gosford Park,False
2001,2002,59,Best Screenplay - Motion Picture,Ethan Coen,The Man Who Wasn't There,False
2001,2002,59,Best Motion Picture - Foreign Language,No Man's Land,Danis Tanovic Bosnia & Herzegovina,True
2001,2002,59,Best Motion Picture - Foreign Language,Amélie,Jean-Pierre Jeunet France,False
2001,2002,59,Best Motion Picture - Foreign Language,Y Tu Mamá También,Alfonso Cuarón Mexico,False
2001,2002,59,Best Motion Picture - Foreign Language,Behind The Sun,Walter Salles Brazil,False
2001,2002,59,Best Motion Picture - Foreign Language,Monsoon Wedding,Mira Nair India,False
2001,2002,59,Best Original Score - Motion Picture,Craig Armstrong,Moulin Rouge,True
2001,2002,59,Best Original Score - Motion Picture,John Williams,A. I.: Artificial Intelligence,False
2001,2002,59,Best Original Score - Motion Picture,Pieter Bourke,Ali,False
2001,2002,59,Best Original Score - Motion Picture,James Horner,A Beautiful Mind,False
2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,59,Best Original Score - Motion Picture,Angelo Badalamenti,Mulholland Dr.,False
2001,2002,59,Best Original Score - Motion Picture,Hans Zimmer,Pearl Harbor,False
2001,2002,59,Best Original Score - Motion Picture,Christopher Young,The Shipping News,False
2001,2002,59,Best Original Song - Motion Picture,"Sting ""Until…""",Kate & Leopold,True
2001,2002,59,Best Original Song - Motion Picture,David Baerwald Come What May,Moulin Rouge,False
2001,2002,59,Best Original Song - Motion Picture,"Enya ""May It Be""",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,59,Best Original Song - Motion Picture,"Diane Warren ""There You'll Be""",Pearl Harbor,False
2001,2002,59,Best Original Song - Motion Picture,"Paul McCartney ""Vanilla Sky""",Vanilla Sky,False
2002,2003,60,Best Motion Picture - Drama,The Hours,,True
2002,2003,60,Best Motion Picture - Drama,About Schmidt,,False
2002,2003,60,Best Motion Picture - Drama,Gangs of New York,,False
2002,2003,60,Best Motion Picture - Drama,The Lord of the Rings: The Two Towers,,False
2002,2003,60,Best Motion Picture - Drama,The Pianist,,False
2002,2003,60,Best Motion Picture - Musical or Comedy,Chicago,,True
2002,2003,60,Best Motion Picture - Musical or Comedy,About a Boy,,False
2002,2003,60,Best Motion Picture - Musical or Comedy,Adaptation,,False
2002,2003,60,Best Motion Picture - Musical or Comedy,My Big Fat Greek Wedding,,False
2002,2003,60,Best Motion Picture - Musical or Comedy,Nicholas Nickleby,,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Hours,True
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Salma Hayek,Frida,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Diane Lane,Unfaithful,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Far From Heaven,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Hours,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,About Schmidt,True
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Catch Me If You Can,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Adrien Brody,The Pianist,False
