person,race,gender
Abigail Breslin,White,Female
Adam Driver,White,Male
Adam McKay,White,Male
Adriana Barraza,Hispanic,Female
Adrien Brody,White,Male
Al Pacino,White,Male
Alan Alda,White,Male
Alan Arkin,White,Male
Alec Baldwin,White,Male
Alejandro G. Iñárritu,Hispanic,Male
Alexander Payne,White,Male
Alicia Vikander,White,Female
Allison Janney,White,Female
Amanda Seyfried,White,Female
Amy Adams,White,Female
Amy Ryan,White,Female
Ana de Armas,Hispanic,Female
Andra Day,Black,Female
Andrea Riseborough,White,Female
Andrew Garfield,White,Male
Ang Lee,Asian,Male
Angela Bassett,Black,Female
Angelina Jolie,White,Female
Anna Kendrick,White,Female
Anne Hathaway,White,Female
Annette Bening,White,Female
Anthony Hopkins,White,Male
Antonio Banderas,White,Male
Aunjanue Ellis,Black,Female
Austin Butler,White,Male
Barkhad Abdi,Black,Male
Barry Jenkins,Black,Male
Barry Keoghan,White,Male
Benedict Cumberbatch,White,Male
Benh Zeitlin,White,Male
Benicio Del Toro,Hispanic,Male
Bennett Miller,White,Male
Bill Murray,White,Male
Bill Nighy,White,Male
Bong Joon Ho,Asian,Male
Brad Pitt,White,Male
Bradley Cooper,White,Male
Brendan Fraser,White,Male
Brendan Gleeson,White,Male
Brian Tyree Henry,Black,Male
Brie Larson,White,Female
Bruce Dern,White,Male
Bryan Cranston,White,Male
Bérénice Bejo,White,Female
Carey Mulligan,White,Female
Casey Affleck,White,Male
Catalina Sandino Moreno,Hispanic,Female
Cate Blanchett,White,Female
Catherine Zeta-Jones,White,Female
Chadwick Boseman,Black,Male
Charlize Theron,White,Female
Charlotte Rampling,White,Female
Chiwetel Ejiofor,Black,Male
Chloé Zhao,Asian,Female
Chris Cooper,White,Male
Christian Bale,White,Male
Christoph Waltz,White,Male
Christopher Nolan,White,Male
Christopher Plummer,White,Male
Christopher Walken,White,Male
Ciarán Hinds,White,Male
Clint Eastwood,White,Male
Clive Owen,White,Male
Colin Farrell,White,Male
Colin Firth,White,Male
Cynthia Erivo,Black,Female
Damien Chazelle,White,Male
Daniel Day-Lewis,White,Male
Daniel Kaluuya,Black,Male
"Daniel Kwan, Daniel Scheinert",A - W,Male
Danny Boyle,White,Male
Darren Aronofsky,White,Male
David Fincher,White,Male
David Lynch,White,Male
David O. Russell,White,Male
David Strathairn,White,Male
Demián Bichir,Middle Eastern,Male
Denis Villeneuve,White,Male
Denzel Washington,Black,Male
Dev Patel,Indian,Male
Diane Keaton,White,Female
Diane Lane,White,Female
Djimon Hounsou,Black,Male
Don Cheadle,Black,Male
Ed Harris,White,Male
Eddie Murphy,Black,Male
Eddie Redmayne,White,Male
Edward Norton,White,Male
Ellen Page,White,Female
Emerald Fennell,White,Female
Emma Stone,White,Female
Emmanuelle Riva,White,Female
Ethan Hawke,White,Male
Felicity Huffman,White,Female
Felicity Jones,White,Female
Fernando Meirelles,White,Male
Florence Pugh,White,Female
Forest Whitaker,Black,Male
Frances McDormand,White,Female
Frank Langella,White,Male
Gabourey Sidibe,Black,Female
Gary Oldman,White,Male
Geoffrey Rush,White,Male
George Clooney,White,Male
Glenn Close,White,Female
Greta Gerwig,White,Female
Gus Van Sant,White,Male
Hailee Steinfeld,White,Female
Hal Holbrook,White,Male
Heath Ledger,White,Male
Helen Hunt,White,Female
Helen Mirren,White,Female
Helena Bonham Carter,White,Female
Hilary Swank,White,Female
Holly Hunter,White,Female
Hong Chau,Asian,Female
Hugh Jackman,White,Male
Ian McKellen,White,Male
Imelda Staunton,White,Female
Isabelle Huppert,White,Female
J.K. Simmons,White,Male
Jack Nicholson,White,Male
