year_film,year_ceremony,ceremony,category,name,film,winner,film_awards,gender,race,country,continent
2001,2002,74,Actor in a Leading Role,Russell Crowe,A Beautiful Mind,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 4, 'winsOscars': 4}",Male,White,,
2001,2002,74,Actor in a Leading Role,Sean Penn,I Am Sam,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2001,2002,74,Actor in a Leading Role,Will Smith,Ali,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 3, 'nomsOscars': 2, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Black,,
2001,2002,74,Actor in a Leading Role,Denzel Washington,Training Day,True,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,Black,,
2001,2002,74,Actor in a Leading Role,Tom Wilkinson,In the Bedroom,False,"{'nomsBaftas': 2, 'nomsGoldenGlobes': 2, 'nomsOscars': 5, 'winsBaftas': 0, 'winsGoldenGlobes': 1, 'winsOscars': 0}",Male,White,,
2001,2002,74,Actor in a Supporting Role,Jim Broadbent,Iris,True,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 2, 'nomsOscars': 2, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Male,White,,
2001,2002,74,Actor in a Supporting Role,Ethan Hawke,Training Day,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,White,,
2001,2002,74,Actor in a Supporting Role,Ben Kingsley,Sexy Beast,False,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Indian,,
2001,2002,74,Actor in a Supporting Role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 4, 'nomsOscars': 9, 'winsBaftas': 5, 'winsGoldenGlobes': 0, 'winsOscars': 4}",Male,White,,
2001,2002,74,Actor in a Supporting Role,Jon Voight,Ali,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 3, 'nomsOscars': 2, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2001,2002,74,Actress in a Leading Role,Halle Berry,Monster's Ball,True,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Female,Black,,
2001,2002,74,Actress in a Leading Role,Judi Dench,Iris,False,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 2, 'nomsOscars': 2, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Female,White,,
2001,2002,74,Actress in a Leading Role,Nicole Kidman,Moulin Rouge,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 3, 'nomsOscars': 6, 'winsBaftas': 3, 'winsGoldenGlobes': 3, 'winsOscars': 2}",Female,White,,
2001,2002,74,Actress in a Leading Role,Sissy Spacek,In the Bedroom,False,"{'nomsBaftas': 2, 'nomsGoldenGlobes': 2, 'nomsOscars': 5, 'winsBaftas': 0, 'winsGoldenGlobes': 1, 'winsOscars': 0}",Female,White,,
2001,2002,74,Actress in a Leading Role,Renée Zellweger,Bridget Jones's Diary,False,"{'nomsBaftas': 4, 'nomsGoldenGlobes': 2, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Female,White,,
2001,2002,74,Actress in a Supporting Role,Jennifer Connelly,A Beautiful Mind,True,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 4, 'winsOscars': 4}",Female,White,,
2001,2002,74,Actress in a Supporting Role,Helen Mirren,Gosford Park,False,"{'nomsBaftas': 7, 'nomsGoldenGlobes': 4, 'nomsOscars': 6, 'winsBaftas': 2, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Female,White,,
2001,2002,74,Actress in a Supporting Role,Maggie Smith,Gosford Park,False,"{'nomsBaftas': 7, 'nomsGoldenGlobes': 4, 'nomsOscars': 6, 'winsBaftas': 2, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Female,White,,
2001,2002,74,Actress in a Supporting Role,Marisa Tomei,In the Bedroom,False,"{'nomsBaftas': 2, 'nomsGoldenGlobes': 2, 'nomsOscars': 5, 'winsBaftas': 0, 'winsGoldenGlobes': 1, 'winsOscars': 0}",Female,White,,
2001,2002,74,Actress in a Supporting Role,Kate Winslet,Iris,False,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 2, 'nomsOscars': 2, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Female,White,,
2001,2002,74,Animated Feature Film,"John A. Davis, Steve Oedekerk",Jimmy Neutron: Boy Genius,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2001,2002,74,Animated Feature Film,"John Lasseter, Pete Docter","Monsters, Inc.",False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 3, 'winsBaftas': 1, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,White,,
2001,2002,74,Animated Feature Film,Aron Warner,Shrek,True,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 2, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,White,,
2001,2002,74,Costume Design,Milena Canonero,The Affair of the Necklace,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Female,White,,
2001,2002,74,Costume Design,Jenny Beavan,Gosford Park,False,"{'nomsBaftas': 7, 'nomsGoldenGlobes': 4, 'nomsOscars': 6, 'winsBaftas': 2, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Female,White,,
2001,2002,74,Costume Design,Judianna Makovsky,Harry Potter and the Sorcerer's Stone,False,"{'nomsBaftas': 8, 'nomsGoldenGlobes': 0, 'nomsOscars': 3, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Female,White,,
2001,2002,74,Costume Design,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 4, 'nomsOscars': 9, 'winsBaftas': 5, 'winsGoldenGlobes': 0, 'winsOscars': 4}",F - M,White,,
2001,2002,74,Costume Design,"Angus Strathie, Catherine Martin",Moulin Rouge,True,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 3, 'nomsOscars': 6, 'winsBaftas': 3, 'winsGoldenGlobes': 3, 'winsOscars': 2}",F - M,White,,
2001,2002,74,Directing,Ron Howard,A Beautiful Mind,True,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 4, 'winsOscars': 4}",Male,White,,
