year_ceremony,film,winner,category
2003,The Lord of the Rings: The Two Towers,True,Visual Effects
2003,Men in Black II,False,Visual Effects
2003,Star Wars Episode II Attack of the Clones,False,Visual Effects
2004,The Lord of the Rings: The Return of the King,True,Visual Effects
2004,The Matrix Revolutions,False,Visual Effects
2004,Pirates of the Caribbean: The Curse of the Black Pearl,False,Visual Effects
2005,Harry Potter and the Prisoner of Azkaban,True,Visual Effects
2005,The Day After Tomorrow,False,Visual Effects
2005,Spider-Man 2,False,Visual Effects
2006,King Kong,True,Visual Effects
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,Visual Effects
2006,Harry Potter and teh Goblet of Fire,False,Visual Effects
2006,Star Wars: Episode III Revenge of the Sith,False,Visual Effects
2007,Pirates of the Caribbean: Dead Man's Chest,True,Visual Effects
2007,Charlotte's Web,False,Visual Effects
2007,The Fountain,False,Visual Effects
2008,Transformers,True,Visual Effects
2008,The Golden Compass,False,Visual Effects
2008,I Am Legend,False,Visual Effects
2008,Pirates of the Caribbean: At World's End,False,Visual Effects
2009,The Curious Case of Benjamin Button,True,Visual Effects
2009,Cloverfield,False,Visual Effects
2009,Hellboy 2: The Golden Army,False,Visual Effects
2009,Iron Man,False,Visual Effects
2010,Avatar,True,Visual Effects
2010,2012,False,Visual Effects
2010,District 9,False,Visual Effects
2010,Star Trek,False,Visual Effects
2010,Transformers: Revenge of the Fallen,False,Visual Effects
2011,Inception,True,Visual Effects
2011,Alice in Wonderland,False,Visual Effects
2011,Harry Potter and the Deathly Hallows Part 1,False,Visual Effects
2011,Iron Man 2,False,Visual Effects
2011,Tron: Legacy,False,Visual Effects
2012,Rise of the Planet of the Apes,True,Visual Effects
2012,Captain America: The First Avenger,False,Visual Effects
2012,Harry Potter and the Deathly Hallows Part 2,False,Visual Effects
2012,Pirates of the Caribbean: On Stranger Tides,False,Visual Effects
2012,Transformers: Dark of the Moon,False,Visual Effects
2013,Life of Pi,True,Visual Effects
2013,The Avengers,False,Visual Effects
2013,Battleship,False,Visual Effects
2013,The Hobbit: Un Unexpected Journey,False,Visual Effects
2013,Prometheus,False,Visual Effects
2014,Gravity,True,Visual Effects
2014,The Hobbit: The Desolation of Smaug,False,Visual Effects
2014,Iron Man 3,False,Visual Effects
2014,Pacific Rim,False,Visual Effects
2014,Star Trek Into Darkness,False,Visual Effects
2015,Dawn of the Planet of the Apes,True,Visual Effects
2015,Guardians of the Galaxy,False,Visual Effects
2015,The Hobbit: The Battle of the Five Armies,False,Visual Effects
2015,Interstellar,False,Visual Effects
2015,Maleficent,False,Visual Effects
2015,X-Men: Days of Future Past,False,Visual Effects
2016,Star Wars: The Force Awakens,True,Visual Effects
2016,Furiuos 7,False,Visual Effects
2016,Mad Max: Fury Road,False,Visual Effects
2016,The Martian,False,Visual Effects
2016,San Andreas,False,Visual Effects
2017,The Jungle Book,True,Visual Effects
2017,Doctor Strange,False,Visual Effects
2017,Fantastic Beasts and Where to Find Them,False,Visual Effects
2017,Miss Peregrine's Home for Peculiar Children,False,Visual Effects
2017,Rogue One: A Star Wars Story,False,Visual Effects
2018,War of the Planet of the Apes,True,Visual Effects
2018,Blade Runner 2049,False,Visual Effects
2018,Guardians of the Galaxy Vol. 2,False,Visual Effects
2018,Kong: Skull Island,False,Visual Effects
2018,Star Wards: The Last Jedi,False,Visual Effects
2019,Avengers: Infinity War,True,Visual Effects
2019,Christopher Robin,False,Visual Effects
2019,Ready Player One,False,Visual Effects
2019,Solo: A Star Wars Story,False,Visual Effects
2019,Welcome to Marwen,False,Visual Effects
2020,The Lion King,True,Visual Effects
2020,Alita: Battle Angel,False,Visual Effects
2020,Avengers: Endgame,False,Visual Effects
2020,Gemini Man,False,Visual Effects
2020,Star Wars: The Rise of Skywalker,False,Visual Effects
2021,The Midnight Sky,True,Visual Effects
2021,Jingle Jangle: A Christmas Jouney,False,Visual Effects
2021,Project Power,False,Visual Effects
2021,Tenet,False,Visual Effects
2021,The Witches,False,Visual Effects
2022,Dune,True,Visual Effects
2022,Godzilla vs. Kong,False,Visual Effects
2022,The Matrix Resurrections,False,Visual Effects
2022,No Time to Die,False,Visual Effects
2022,Shang-Chi and the Legend of the Ten Rings,False,Visual Effects
2022,Spider-Man: No Way Home,False,Visual Effects
2023,Avatar: The Way of Water,True,Visual Effects
2023,The Batman,False,Visual Effects
2023,Fantastic Beasts: The Secrets of Dumbledore,False,Visual Effects
2023,Jurassic World Dominion,False,Visual Effects
2023,Top Gun: Maverick,False,Visual Effects
